NameofSatellite	Country	Owner	Users	Purpose	ClassofOrbit	Perigeekm	Apogeekm	Eccentricity	Inclinationdegrees	Radius	Periodminutes	LaunchMass	DateofLaunch	ExpectedLifetime	LaunchSite	LaunchVehicle	major	minor	focus	theta	x	y	cx	cy	r
Cassiope (CAScade SmallSat and Ionospheric Polar Explorer)	NR	"Canadian Space Agency,Canada"	Government	Earth Science	LEO	325	1486	0.0798	81	0.0490000	103.110	490.00	29/09/2013	2 yrs.	Vandenberg AFB	Falcon 9	905.50000	902.61227	72.2589	0	905.5	0	72.2589	0	905.5
CBERS 4 (China-Brazil Earth Resources Satellite 4)	NR	"China National Space Administration (China)/National Institute for Space Research (Brazil),China/Brazil"	Government	Earth Observation	LEO	738	748	0.000703	98.55	0.1980000	99.670	1980.00	07/12/2014	3 yrs.	Taiyuan Launch Center	Long March 4B	743.00000	742.99982	0.52233	0	743	0	0.52233	0	743
CBNT-1 (Carbonite 1)	NR	"Surrey Satellite Technologies Ltd. ,United Kingdom"	Commercial	Technology Development	LEO	636	658	0.00157	98	0.0091000	97.660	91.00	10/07/2015	5 yrs.	Satish Dhawan Space Centre	PSLV	647.00000	646.99920	1.01579	0	647	0	1.01579	0	647
CELTEE-1 (CubeSat Enhanced Locator Transponder Evaluation Experiment-1)	NR (12/16)	"Air Force Research Laboratory,USA"	Military	Technology Development	LEO	576	586	0.000719	97.98	0.0003000	96.290	3.00	11/11/2016	3 yrs.	Vandenberg AFB	Atlas 5	581.00000	580.99985	0.41774	0	581	0	0.41774	0	581
CE-SAT-1 (Canon Electric Satellite 1)	NR (10/17)	"Canon Electronics ,Japan"	Commercial	Technology Development	LEO	497	517	0.00145	97.45	0.0003000	94.760	3.00	22/06/2017	5 yrs.	Satish Dhawan Space Centre	PSLV	507.00000	506.99947	0.73515	0	507	0	0.73515	0	507
CFESat (Cibola Flight Experiment Satellite)	USA	"Los Alamos National Laboratory,USA"	Government	Technology Development	LEO	538	544	0.000434	35.4	0.0159000	95.500	159.00	09/03/2007	3 yrs.	Cape Canaveral	Atlas 5	541.00000	540.99995	0.23479	0	541	0	0.23479	0	541
Challenger (QB50-US01/QBUS-1)	NR (10/17)	"University of Colorado, Boulder,USA"	Civil	Space Science	LEO	398	408	0.000738	51.6	0.0004000	92.600	4.00	26/05/2017	8 yrs.	International Space Station	Nanorack Deployer	403.00000	402.99989	0.29741	0	403	0	0.29741	0	403
Chandra X-Ray Observatory (CXO)	USA	"National Aeronautics and Space Administration (NASA) Goddard Space Flight Center,USA"	Government	Space Science	Elliptical	9999	138825	0.797	28.5	0.4742000	3808.920	4742.00	23/07/1999	5 yrs.	Cape Canaveral	Space Shuttle (STS 93)	74412.00000	44943.30799	59306.364	0	74412	0	59306.364	0	74412
Chao Fenbianlu Duo Guangpu Chengxiang Weixing (Ultra-resolution multispectral imaging satellite)	NR (1/17)	"Shanghai Engineering Center for Microsatellites,China"	Government	Earth Observation 	LEO	690	720	0.00212	98.1	0.0050000	98.870	50.00	21/12/2016	2 yrs.	Jiuquan Satellite Launch Center	Long March 2D	705.00000	704.99842	1.4946	0	705	0	1.4946	0	705
ChinaSat 11 (Zhong Xing 11)	China	"China Satellite Communication Corp. (China Satcom),China"	Commercial	Communications	GEO	35781	35793	0.000142	0.02	0.5100000	1436.140	5100.00	01/05/2013	15 yrs.	Xichang Satellite Launch Center	Long March 3B	35787.00000	35786.99964	5.08172	0	35787	0	5.08172	0	35787
Chinasat 16 (Shijian 13)	NR (9/17)	"China Satellite Communication Corp. (China Satcom),China"	Government	Communications	GEO	35756	35816	0.000712	0	0.4600000	1436.100	4600.00	12/04/2017	15 yrs.	Xichang Satellite Launch Center	Long March 3B	35786.00000	35785.99093	25.47963	0	35786	0	25.47963	0	35786
ChinaSat 1C (Zhong Xing 1C)	NR	"China Satellite Communication Corp. (China Satcom),China"	Commercial	Communications	GEO	35778	35796	0.000213	0.01	0.5200000	1436.120	5200.00	09/12/2015	15 yrs.	Xichang Satellite Launch Center	Long March 3B	35787.00000	35786.99919	7.62263	0	35787	0	7.62263	0	35787
ChinaSat 2C (Zhong Xing 2C)	NR	"China Satellite Communication Corp. (China Satcom),China"	Commercial/Government	Communications	GEO	35787	35801	0.000166	0.5	0.5200000	1436.100	5200.00	03/11/2015	15 yrs.	Xichang Satellite Launch Center	Long March 3B	35794.00000	35793.99951	5.94181	0	35794	0	5.94181	0	35794
ChinaSat 6B (Zhong Xing 6B)	China	"China Satellite Communication Corp. (China Satcom),China"	Commercial/Government	Communications	GEO	35777	35797	0.000237	0.05	0.4600000	1436.100	4600.00	06/07/2007	15 yrs.	Xichang Satellite Launch Center	Long March 3B	35787.00000	35786.99899	8.48152	0	35787	0	8.48152	0	35787
ChinaSat 9A (Zhong Xing 9A)	NR (10/17)	"China Satellite Communication Corp. (China Satcom),China"	Commercial/Government	Communications	GEO	35773	35800	0.00032	0	0.5000000	1436.100	5000.00	18/06/2017	15 yrs.	Xichang Satellite Launch Center	Long March 3B	35786.50000	35786.49817	11.45168	0	35786.5	0	11.45168	0	35786.5
"Chuangxin 1-1 (Innovation 1-1, Chuang Xin 1, CX-1-1)"	China	"Chinese Academy of Sciences,China"	Government	Communications	LEO	729	748	0.00134	98.5	0.0100000	99.600	100.00	21/10/2003	2 yrs.	Taiyuan Launch Center	Long March 3B	738.50000	738.49934	0.98959	0	738.5	0	0.98959	0	738.5
Chuangxin 1-2 (Innovation 1-2)	China	"Chinese Academy of Sciences,China"	Government	Earth Observation	LEO	785	804	0.00133	98.5	0.0101000	98.500	101.00	05/11/2008	2 yrs.	Jiuquan Satellite Launch Center	Long March 2D	794.50000	794.49930	1.05668	0	794.5	0	1.05668	0	794.5
Chuangxin 1-3 (Innovation 1-3)	China	"Chinese Academy of Sciences,China"	Government	Earth Observation	LEO	784	804	0.0014	98.5	0.0100000	100.700	100.00	20/11/2011	2 yrs.	Jiuquan Satellite Launch Center	Long March 2D	794.00000	793.99922	1.1116	0	794	0	1.1116	0	794
Chuangxin 1-4 (Innovation 1-4)	China	"Chinese Academy of Sciences,China"	Government	Earth Observation	LEO	778	809	0.00216	98.46	0.0100000	100.740	100.00	04/09/2014	2 yrs.	Jiuquan Satellite Launch Center	Long March 2D	793.50000	793.49815	1.71396	0	793.5	0	1.71396	0	793.5
Chuangxin-3	China	"Chinese Academy of Sciences,China"	Government	Technology Development	LEO	665	672	0.000497	98.03	0.0200000	96.430	200.00	19/07/2013	2 yrs.	Taiyuan Launch Center	Long March 2C	668.50000	668.49992	0.33224	0	668.5	0	0.33224	0	668.5
ChubuSat 1 (Kinshachi-1)	NR	"Nagoya University and Daido University,Japan"	Civil	Technology Development	LEO	506	538	0.00232	97.48	0.0050000	95.070	50.00	06/11/2014	2 yrs.	Dombarovsky Air Base	Dnepr	522.00000	521.99860	1.21104	0	522	0	1.21104	0	522
ChubuSat 2 (Kinshachi-2)	NR (12/16)	"Nagoya University and Daido University,Japan"	Civil	Technology Development	LEO	560	579	0.00137	31	0.0050000	96.050	50.00	17/02/2016	2 yrs.	Tanegashima Space Center	H-2A	569.50000	569.49947	0.78021	0	569.5	0	0.78021	0	569.5
ChubuSat 3 (Kinshachi-3)	NR (12/16)	"Nagoya University and Daido University,Japan"	Civil	Technology Development	LEO	558	579	0.00151	31	0.0050000	96.000	50.00	17/02/2016	2 yrs.	Tanegashima Space Center	H-2A	568.50000	568.49935	0.85844	0	568.5	0	0.85844	0	568.5
Cicero-1	NR (10/17)	"GeoOptics Inc.,USA"	Commercial	Earth Observation	LEO	586	602	0.00115	97.6	0.0010000	96.600	10.00	14/07/2017	2 yrs.	Baikonur Cosmodrome	Soyuz 2.1a	594.00000	593.99961	0.6831	0	594	0	0.6831	0	594
Cicero-2	NR (10/17)	"GeoOptics Inc.,USA"	Commercial	Earth Observation	LEO	586	602	0.00115	97.6	0.0010000	96.600	10.00	14/07/2017	2 yrs.	Baikonur Cosmodrome	Soyuz 2.1a	594.00000	593.99961	0.6831	0	594	0	0.6831	0	594
Cicero-3	NR (10/17)	"GeoOptics Inc.,USA"	Commercial	Earth Observation	LEO	586	602	0.00115	97.6	0.0010000	96.600	10.00	14/07/2017	2 yrs.	Baikonur Cosmodrome	Soyuz 2.1a	594.00000	593.99961	0.6831	0	594	0	0.6831	0	594
Cicero-6  (Community Initiative for Cellular Earth Remote Observation-6)	NR (10/17)	"GeoOptics Inc.,USA"	Commercial	Earth Observation	LEO	496	515	0.00138	97.45	0.0010000	94.700	10.00	23/06/2017	5 yrs.	Satish Dhawan Space Centre	PSLV	505.50000	505.49952	0.69759	0	505.5	0	0.69759	0	505.5
Ciel-2	Canada	"Ciel Satellite Group,Canada"	Commercial	Communications	GEO	35782	35788	0.0000712	0.05	0.5585000	1436.050	5585.00	10/12/2008	15 yrs.	Baikonur Cosmodrome	Proton M	35785.00000	35784.99991	2.54782	0	35785	0	2.54782	0	35785
"CINEMA-1 (Cubesat for Ion, Neutral, Electron, Magnetic fields)"	USA	"University of California-Berkeley/Imperial College-London,USA"	Civil	Space Science	LEO	484	791	0.0219	64.6	0.0003000	97.400	3.00	13/09/2012	5 yrs.	Vandenberg AFB	Atlas 5	637.50000	637.34711	13.96125	0	637.5	0	13.96125	0	637.5
CLIO (USA 257)	USA	"Unknown US agency,USA"	Military	Communications	GEO	35736	35854	0.0014	0.04	0.0050000	1436.500	50.00	16/09/2014	7 yrs.	Cape Canaveral	Atlas 5	35795.00000	35794.96492	50.113	0	35795	0	50.113	0	35795
Cloudsat	USA	"National Aeronautics and Space Administration (NASA)/Colorado State University,USA"	Government/Civil	Earth Observation	LEO	702	703	0.0000707	98.2	0.0848000	98.800	848.00	28/04/2006	2 yrs.	Vandenberg AFB	Delta 2	702.50000	702.50000	0.04967	0	702.5	0	0.04967	0	702.5
Columbia (QB50 - US04)	NR (10/17)	"University of Turabo,USA"	Civil	Earth Science	LEO	401	404	0.000221	51.6	0.0002000	92.600	2.00	18/04/2017	.25 yrs.	International Space Station	Nanorack Deployer	402.50000	402.49999	0.08895	0	402.5	0	0.08895	0	402.5
Compass-2 (QB50-DE04)	NR (10/17)	"FH Aachen,Germany"	Civil	Technology Development	LEO	496	513	0.00124	97.45	0.0005000	94.600	5.00	23/06/2017	3 yrs.	Satish Dhawan Space Centre	PSLV	504.50000	504.49961	0.62558	0	504.5	0	0.62558	0	504.5
"COMS-1 (Communication, Ocean and Meteorological Satellite; Cheollian)"	South Korea	"Korea Aerospace Research Institute (KARI),South Korea"	Government	Earth Observation/Communications	GEO	35783	35791	0.0000949	0.01	0.2460000	1436.100	2460.00	26/06/2010	15 yrs.	Guiana Space Center	Ariane 5 ECA	35787.00000	35786.99984	3.3962	0	35787	0	3.3962	0	35787
COMSATBw-1 (COmmunications SATellite fí_r BundesWehr)	Germany	"Armed Forces,Germany"	Military	Communications	GEO	35773	35799	0.000308	0.05	0.2440000	1436.100	2440.00	01/10/2009	15 yrs.	Guiana Space Center	Ariane 5	35786.00000	35785.99830	11.02208	0	35786	0	11.02208	0	35786
COMSATBw-2 (COmmunications SATellite fí_r BundesWehr)	Germany	"Armed Forces,Germany"	Military	Communications	GEO	35780	35794	0.000166	0.08	0.2440000	1436.110	2440.00	21/05/2010	15 yrs.	Guiana Space Center	Ariane 5	35787.00000	35786.99951	5.94062	0	35787	0	5.94062	0	35787
Condor E2 	NR	"Armed Forces,South Africa"	Military	Earth Observation	LEO	499	501	0.000146	74.75	0.0560000	94.620	560.00	19/12/2014	2 yrs.	Baikonur Cosmodrome	Strela	500.00000	499.99999	0.073	0	500	0	0.073	0	500
Coriolis (Windsat)	USA	"US Air Force/ US Navy/NASA,USA"	Military	Earth Observation	LEO	820	841	0.00146	98.8	0.0817000	101.500	817.00	06/01/2003	3 yrs.	Vandenberg AFB	Titan 2	830.50000	830.49911	1.21253	0	830.5	0	1.21253	0	830.5
Corvis-BC-1 (Landmapper BC)	NR (10/17)	"Astro Digital,USA"	Commercial	Earth Observation	LEO	586	604	0.00129	97.6	0.0011000	96.600	11.00	14/07/2017	2 yrs.	Baikonur Cosmodrome	Soyuz 2.1a	595.00000	594.99950	0.76755	0	595	0	0.76755	0	595
Corvis-BC-2 (Landmapper BC)	NR (10/17)	"Astro Digital,USA"	Commercial	Earth Observation	LEO	586	604	0.00129	97.6	0.0011000	96.600	11.00	14/07/2017	2 yrs.	Baikonur Cosmodrome	Soyuz 2.1a	595.00000	594.99950	0.76755	0	595	0	0.76755	0	595
"COSMIC-A (Formosat-3A, Constellation Observing System for Meteorology, Ionosphere and Climate)"	NR	"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO,Taiwan/USA"	Government/Civil	Earth Observation	LEO	764	836	0.00502	72	0.0070000	100.900	70.00	15/04/2006	2 yrs.	Vandenberg AFB	Minotaur	800.00000	799.98992	4.016	0	800	0	4.016	0	800
"COSMIC-B (Formosat-3B, Constellation Observing System for Meteorology, Ionosphere and Climate)"	NR	"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO,Taiwan/USA"	Government/Civil	Earth Observation	LEO	769	831	0.00432	72	0.0070000	100.900	70.00	15/04/2006	2 yrs.	Vandenberg AFB	Minotaur	800.00000	799.99254	3.456	0	800	0	3.456	0	800
"COSMIC-D (Formosat-3D, Constellation Observing System for Meteorology, Ionosphere and Climate)"	NR	"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO,Taiwan/USA"	Government/Civil	Earth Observation	LEO	669	746	0.00544	72	0.0070000	98.900	70.00	15/04/2006	2 yrs.	Vandenberg AFB	Minotaur	707.50000	707.48953	3.8488	0	707.5	0	3.8488	0	707.5
"COSMIC-E (Formosat-3E, Constellation Observing System for Meteorology, Ionosphere and Climate)"	NR	"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO,Taiwan/USA"	Government/Civil	Earth Observation	LEO	751	849	0.00683	72	0.0070000	100.900	70.00	15/04/2006	2 yrs.	Vandenberg AFB	Minotaur	800.00000	799.98134	5.464	0	800	0	5.464	0	800
"COSMIC-F (Formosat-3F, Constellation Observing System for Meteorology, Ionosphere and Climate)"	NR	"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO,Taiwan/USA"	Government/Civil	Earth Observation	LEO	772	828	0.00391	72	0.0070000	100.900	70.00	15/04/2006	2 yrs.	Vandenberg AFB	Minotaur	800.00000	799.99388	3.128	0	800	0	3.128	0	800
Cosmos 2504	NR	"Ministry of Defense,Russia"	Military	Technology Development	LEO	1171	1504	0.0216	82.4	0.1500000	112.410	1500.00	31/03/2015	3 yrs.	Plesetsk Cosmodrome	Rokot	1337.50000	1337.18795	28.89	0	1337.5	0	28.89	0	1337.5
Cosmos 2519 (Napryazhenie No. 1?)	NR (10/17)	"Ministry of Defense,Russia"	Military	Space Observation	LEO	653	668	0.00107	98	0.1500000	97.900	1500.00	23/06/2017	3 yrs.	Plesetsk Cosmodrome	Soyuz 2.1v	660.50000	660.49962	0.70673	0	660.5	0	0.70673	0	660.5
Cosmos 2519 Subsatellite	NR (10/17)	"Ministry of Defense,Russia"	Military	Space Observation	LEO	650	676	0.00185	97.9	0.1500000	97.200	1500.00	23/06/2017	3 yrs.	Plesetsk Cosmodrome	Soyuz 2.1v	663.00000	662.99887	1.22655	0	663	0	1.22655	0	663
COSMO-Skymed 1 (Constellation of small Satellites for Mediterranean basin Observation)	Italy	"Italian Space Agency/Ministry of Defense,Italy"	Military/Civil	Earth Observation	LEO	622	623	0.0000715	97.9	0.1700000	97.200	1700.00	08/06/2007	5 yrs.	Vandenberg AFB	Delta 7000	622.50000	622.50000	0.04451	0	622.5	0	0.04451	0	622.5
COSMO-Skymed 2 (Constellation of small Satellites for Mediterranean basin Observation)	Italy	"Italian Space Agency/Ministry of Defense,Italy"	Military/Government	Earth Observation	LEO	622	623	0.0000715	97.9	0.1700000	97.200	1700.00	09/12/2007	5 yrs.	Vandenberg AFB	Delta 2	622.50000	622.50000	0.04451	0	622.5	0	0.04451	0	622.5
COSMO-Skymed 3 (Constellation of small Satellites for Mediterranean basin Observation)	Italy	"Italian Space Agency/Ministry of Defense,Italy"	Military/Government	Earth Observation	LEO	622	623	0.0000715	97.9	0.1700000	97.200	1700.00	25/10/2008	5 yrs.	Vandenberg AFB	Delta 7420	622.50000	622.50000	0.04451	0	622.5	0	0.04451	0	622.5
COSMO-Skymed 4 (Constellation of small Satellites for Mediterranean basin Observation)	Italy	"Italian Space Agency/Ministry of Defense,Italy"	Military/Government	Earth Observation	LEO	622	623	0.0000715	97.9	0.1700000	97.200	1700.00	06/11/2010	5 yrs.	Vandenberg AFB	Delta 2	622.50000	622.50000	0.04451	0	622.5	0	0.04451	0	622.5
CP-10 (Exocube)	NR	"California Polytechnic State University/NASA JPL,USA"	Civil	Earth Observation	LEO	441	657	0.0156	99.1	0.0004000	95.600	4.00	31/01/2015	5 yrs.	Vandenberg AFB	Delta 2	549.00000	548.93319	8.5644	0	549	0	8.5644	0	549
Cryosat-2 	ESA	"European Space Agency (ESA),ESA"	Government	Earth Observation	LEO	713	724	0.000776	92	0.0720000	99.200	720.00	08/04/2010	3 yrs.	Baikonur Cosmodrome	Dnepr	718.50000	718.49978	0.55756	0	718.5	0	0.55756	0	718.5
CSUNSAT-1 (California State University at Northridge Satellite)	NR (10/17)	"California State University at Northridge/NASA JPL,USA"	Civil	Technology Development	LEO	402	404	0.000148	51.6	0.0004000	92.400	4.00	18/05/2017	8 yrs.	International Space Station	Nanorack Deployer	403.00000	403.00000	0.05964	0	403	0	0.05964	0	403
"Cubebug 2 (Manolito, LO-74)"	NR	"Argentinian Ministry of Science, Technology and Productive Innovation/Radio Club Bariloche,Argentina"	Civil	Technology Development	LEO	594	715	0.00861	97.8	0.0002000	97.800	2.00	21/11/2013	2 yrs.	Dombarovsky Air Base	Dnepr	654.50000	654.47574	5.63524	0	654.5	0	5.63524	0	654.5
"Cubesat XI-IV (Oscar 57, CO-57)"	Japan	"Department of Astronautics, University of Tokyo,Japan"	Civil	Technology Development	LEO	815	830	0.00104	98.7	0.0050000	101.300	50.00	30/06/2003	2 yrs.	Plesetsk Cosmodrome	Dnepr	822.50000	822.49956	0.8554	0	822.5	0	0.8554	0	822.5
CUSat-1 (Cornell University Satellite 1)	NR	"Space Systems Design Studio, Cornell University,USA"	Civil	Technology Development	LEO	326	1465	0.0784	80.99	0.0050000	102.890	50.00	29/09/2013	.5 yrs.	Vandenberg AFB	Falcon 9	895.50000	892.74364	70.2072	0	895.5	0	70.2072	0	895.5
CXBN-2 (Cosmic X-Ray Background Nanosatellite-2)	NR (10/17)	"Morehead State University,USA"	Civil	Space Science	LEO	400	406	0.000443	51.6	0.0002000	92.600	2.00	18/04/2017	.5 yrs.	International Space Station	Nanorack Deployer	403.00000	402.99996	0.17853	0	403	0	0.17853	0	403
CYGNSS FM01 (Cyclone Global Navigation Satellite System)	NR (1/17)	"University of Michigan/NASA Earth Science Technology Office,USA"	Government	Earth Observation	LEO	515	537	0.0016	34.96	0.0029000	95.160	29.00	15/12/2016	1.5 yrs.	Orbital ATK L-1011	Pegasus	526.00000	525.99933	0.8416	0	526	0	0.8416	0	526
CYGNSS FM02 (Cyclone Global Navigation Satellite System)	NR (1/17)	"University of Michigan/NASA Earth Science Technology Office,USA"	Government	Earth Observation	LEO	514	536	0.0016	34.97	0.0029000	95.130	29.00	15/12/2016	1.5 yrs.	Orbital ATK L-1011	Pegasus	525.00000	524.99933	0.84	0	525	0	0.84	0	525
CYGNSS FM03 (Cyclone Global Navigation Satellite System)	NR (1/17)	"University of Michigan/NASA Earth Science Technology Office,USA"	Government	Earth Observation	LEO	514	533	0.00138	34.96	0.0029000	95.100	29.00	15/12/2016	1.5 yrs.	Orbital ATK L-1011	Pegasus	523.50000	523.49950	0.72243	0	523.5	0	0.72243	0	523.5
CYGNSS FM04 (Cyclone Global Navigation Satellite System)	NR (1/17)	"University of Michigan/NASA Earth Science Technology Office,USA"	Government	Earth Observation	LEO	515	534	0.00138	34.95	0.0029000	95.130	29.00	15/12/2016	1.5 yrs.	Orbital ATK L-1011	Pegasus	524.50000	524.49950	0.72381	0	524.5	0	0.72381	0	524.5
CYGNSS FM05 (Cyclone Global Navigation Satellite System)	NR (1/17)	"University of Michigan/NASA Earth Science Technology Office,USA"	Government	Earth Observation	LEO	515	537	0.0016	34.96	0.0029000	95.150	29.00	15/12/2016	1.5 yrs.	Orbital ATK L-1011	Pegasus	526.00000	525.99933	0.8416	0	526	0	0.8416	0	526
CYGNSS FM06 (Cyclone Global Navigation Satellite System)	NR (1/17)	"University of Michigan/NASA Earth Science Technology Office,USA"	Government	Earth Observation	LEO	515	534	0.00138	34.96	0.0029000	95.120	29.00	15/12/2016	1.5 yrs.	Orbital ATK L-1011	Pegasus	524.50000	524.49950	0.72381	0	524.5	0	0.72381	0	524.5
CYGNSS FM07 (Cyclone Global Navigation Satellite System)	NR (1/17)	"University of Michigan/NASA Earth Science Technology Office,USA"	Government	Earth Observation	LEO	514	534	0.00145	34.96	0.0029000	95.120	29.00	15/12/2016	1.5 yrs.	Orbital ATK L-1011	Pegasus	524.00000	523.99945	0.7598	0	524	0	0.7598	0	524
CYGNSS FM08 (Cyclone Global Navigation Satellite System)	NR (1/17)	"University of Michigan/NASA Earth Science Technology Office,USA"	Government	Earth Observation	LEO	515	537	0.0016	34.95	0.0029000	95.150	29.00	15/12/2016	1.5 yrs.	Orbital ATK L-1011	Pegasus	526.00000	525.99933	0.8416	0	526	0	0.8416	0	526
"Daichi-2 (Advanced Land Observing Satellite-2, ALOS 2 2)"	NR	"Japan Aerospace Exploration Agency (JAXA),Japan"	Government	Earth Observation	LEO	630	635	0.000357	97.88	0.2120000	97.360	2120.00	24/05/2014	7 yrs.	Tanegashima Space Center	H-2A	632.50000	632.49996	0.2258	0	632.5	0	0.2258	0	632.5
DAMPE (Dark Matter Particle Explorer)	NR	"Chinese Academy of Science,China"	Government	Space Science	LEO	488	505	0.00124	97.3	0.1850000	94.540	1850.00	17/12/2015	3 yrs.	Jiuquan Satellite Launch Center	Long March 2D	496.50000	496.49962	0.61566	0	496.5	0	0.61566	0	496.5
"DCBB (Kaituo-1B, CAS-3G)"	NR	"China Amateur Satellite - CAMSAT,China"	Civil	Technology Development	LEO	514	536	0.0016	97.46	0.0003000	95.130	3.00	19/09/2015	4 yrs.	Taiyuan Launch Center	Long March 6	525.00000	524.99933	0.84	0	525	0	0.84	0	525
Deimos 1	Spain	"Deimos Imaging/DMC International Imaging (DMCII),Spain"	Government	Earth Observation	LEO	661	662	0.0000711	98	0.0090000	98.000	90.00	29/07/2009	5 yrs.	Baikonur Cosmodrome	Dnepr	661.50000	661.50000	0.04703	0	661.5	0	0.04703	0	661.5
Deimos 2 	NR	"Deimos Imaging/DMC International Imaging (DMCII),Spain"	Government	Earth Observation	LEO	597	619	0.00158	97.99	0.0310000	96.850	310.00	19/06/2014	10 yrs.	Dombarovsky Air Base	Dnepr	608.00000	607.99924	0.96064	0	608	0	0.96064	0	608
Delfi-C3 (DO-64)	NR	"Technical University, Delft,Netherlands"	Civil	Technology Development	LEO	598	616	0.00129	97.8	0.0007000	96.800	7.00	28/04/2008	5 yrs.	Satish Dhawan Space Centre	PSLV C9	607.00000	606.99949	0.78303	0	607	0	0.78303	0	607
DHFR (DARPA High Frequency Receiver)	NR (10/17)	"DARPA (Defense Advanced Research Projects Agency),USA"	Military	Technology Development	LEO	309	605	0.0217	24.5	0.0008000	93.700	8.00	26/08/2017	2 yrs.	Cape Canaveral	Minotaur 4	457.00000	456.89239	9.9169	0	457	0	9.9169	0	457
Diamond Blue (3 Diamonds 1)	NR (10/17)	"Sky and Space Global, UK,United Kingdom"	Commercial	Technology Development	LEO	496	511	0.00109	97.45	0.0006000	96.400	6.00	23/06/2017	5 yrs.	Satish Dhawan Space Centre	PSLV	503.50000	503.49970	0.54882	0	503.5	0	0.54882	0	503.5
Diamond Green (3 Diamonds 2)	NR (10/17)	"Sky and Space Global, UK,United Kingdom"	Commercial	Technology Development	LEO	496	511	0.00109	97.45	0.0006000	96.400	6.00	23/06/2017	5 yrs.	Satish Dhawan Space Centre	PSLV	503.50000	503.49970	0.54882	0	503.5	0	0.54882	0	503.5
Diamond Red (3 Diamonds 3)	NR (10/17)	"Sky and Space Global, UK,United Kingdom"	Commercial	Technology Development	LEO	496	511	0.00109	97.45	0.0006000	96.400	6.00	23/06/2017	5 yrs.	Satish Dhawan Space Centre	PSLV	503.50000	503.49970	0.54882	0	503.5	0	0.54882	0	503.5
Dido-2	NR (9/17)	"SpacePharma,Switzerland"	Commercial	Technology Development	LEO	496	508	0.000873	97.5	0.0010000	94.600	10.00	15/02/2017	5 yrs.	Satish Dhawan Space Centre	PSLV XL	502.00000	501.99981	0.43825	0	502	0	0.43825	0	502
DirecTV-10	USA	"DirecTV, Inc.,USA"	Commercial	Communications	GEO	35785	35788	0.0000356	0.04	0.5900000	1436.100	5900.00	07/07/2007	15 yrs.	Baikonur Cosmodrome	Proton M	35786.50000	35786.49998	1.27408	0	35786.5	0	1.27408	0	35786.5
DirecTV-11	USA	"DirecTV, Inc.,USA"	Commercial	Communications	GEO	35786	35786	0	0.03	0.5900000	1436.100	5900.00	19/03/2008	8 yrs.	Sea Launch Odyssey	Zenit 3SL	35786.00000	35786.00000	0	0	35786	0	0	0	35786
DirecTV-12	USA	"DirecTV, Inc.,USA"	Commercial	Communications	GEO	35785	35786	0.0000119	0.09	0.5900000	1436.040	5900.00	29/12/2009	15 yrs.	Baikonur Cosmodrome	Breeze M	35785.50000	35785.50000	0.42553	0	35785.5	0	0.42553	0	35785.5
DirecTV-14	USA	"DirecTV, Inc.,USA"	Commercial	Communications	GEO	35930	35933	0.0000355	0.02	0.5900000	1443.510	5900.00	06/12/2014	15 yrs.	Guiana Space Center	Ariane 5 ECA	35931.50000	35931.49998	1.27553	0	35931.5	0	1.27553	0	35931.5
DirecTV-15	NR	"DirecTV, Inc.,USA"	Commercial	Communications	GEO	35685	35809	0.00147	0.1	0.5500000	1434.070	5500.00	27/05/2015	15 yrs.	Guiana Space Center	Ariane 5 ECA	35747.00000	35746.96138	52.54809	0	35747	0	52.54809	0	35747
DirecTV-1R 	USA	"Russian Satellite Communications Co.,Russia"	Commercial	Communications	GEO	35778	35795	0.000202	0.03	0.3420000	1436.100	3420.00	10/10/1999	15 yrs.	Sea Launch Odyssey	Zenit 3SL	35786.50000	35786.49927	7.22889	0	35786.5	0	7.22889	0	35786.5
DirecTV-4S 	USA	"DirecTV, Inc.,USA"	Commercial	Communications	GEO	35780	35792	0.000142	0.05	0.4300000	1436.090	4300.00	27/11/2001	15 yrs.	Guiana Space Center	Ariane 44LP	35786.00000	35785.99964	5.08158	0	35786	0	5.08158	0	35786
DirecTV-5 (Tempo 1)	USA	"DirecTV, Inc.,USA"	Commercial	Communications	GEO	35773	35799	0.000308	0.07	0.4300000	1436.080	4300.00	07/05/2002	15 yrs.	Baikonur Cosmodrome	Proton K	35786.00000	35785.99830	11.02208	0	35786	0	11.02208	0	35786
DirecTV-7S 	USA	"DirecTV, Inc. ,USA"	Commercial	Communications	GEO	35774	35797	0.000273	0.01	0.5483000	1436.100	5483.00	04/05/2004	15 yrs.	Sea Launch Odyssey	Zenit 3SL	35785.50000	35785.49867	9.76945	0	35785.5	0	9.76945	0	35785.5
DirecTV-8	USA	"DirecTV, Inc.,USA"	Commercial	Communications	GEO	35777	35796	0.000225	0.02	0.3800000	1436.100	3800.00	22/05/2005	12 yrs.	Baikonur Cosmodrome	Proton M/Breeze M	35786.50000	35786.49909	8.05198	0	35786.5	0	8.05198	0	35786.5
