NameofSatellite	Country	Owner	Users	Purpose	ClassofOrbit	Perigeekm	Apogeekm	Eccentricity	Inclinationdegrees	Radius	Periodminutes	LaunchMass	DateofLaunch	ExpectedLifetime	LaunchSite	LaunchVehicle	major	minor	focus	theta	x	y	cx	cy	r
Aerocube 4.5B	USA	"Aerospace Corporation,USA"	Commercial	Technology Development	LEO	499	792	0.0209	64.6	0.0005000	97.600	5.00	13/09/2012	2 yrs.	Vandenberg AFB	Atlas 5	645.50000	645.35900	13.49095	0	645.5	0	13.49095	0	645.5
Aerocube 5A	NR	"Aerospace Corporation,USA"	Commercial	Technology Development	LEO	443	886	0.0315	120.3	0.0005000	98.000	5.00	06/12/2013	2 yrs.	Vandenberg AFB	Atlas 5	664.50000	664.17024	20.93175	0	664.5	0	20.93175	0	664.5
Aerocube 5B	NR	"Aerospace Corporation,USA"	Commercial	Technology Development	LEO	443	886	0.0315	120.3	0.0005000	98.000	5.00	06/12/2013	2 yrs.	Vandenberg AFB	Atlas 5	664.50000	664.17024	20.93175	0	664.5	0	20.93175	0	664.5
Aerocube 5C	NR	"Aerospace Corporation,USA"	Commercial	Technology Development	LEO	500	802	0.0215	64.78	0.0002000	97.740	2.00	08/10/2015	2 yrs.	Vandenberg AFB	Atlas 5	651.00000	650.84952	13.9965	0	651	0	13.9965	0	651
Aerocube 6A	NR	"Aerospace Corporation,USA"	Commercial	Technology Development	LEO	614	700	0.00612	97.98	0.0005000	97.880	5.00	19/06/2014	3 yrs.	Dombarovsky Air Base	Dnepr	657.00000	656.98770	4.02084	0	657	0	4.02084	0	657
Aerocube 6B	NR	"Aerospace Corporation,USA"	Commercial	Technology Development	LEO	614	700	0.00612	97.98	0.0005000	97.880	5.00	19/06/2014	3 yrs.	Dombarovsky Air Base	Dnepr	657.00000	656.98770	4.02084	0	657	0	4.02084	0	657
Aerocube 7A	NR	"Aerospace Corporation,USA"	Commercial	Technology Development	LEO	500	802	0.0215	64.6	0.0002000	97.400	2.00	08/10/2015	3 yrs.	Vandenberg AFB	Atlas 5	651.00000	650.84952	13.9965	0	651	0	13.9965	0	651
Aerocube 8A	NR	"Aerospace Corporation,USA"	Commercial	Technology Development	LEO	356	700	0.0249	55	0.0005000	95.190	5.00	20/05/2015	3 yrs.	Cape Canaveral	Atlas 5	528.00000	527.83629	13.1472	0	528	0	13.1472	0	528
Aerocube 8B	NR	"Aerospace Corporation,USA"	Commercial	Technology Development	LEO	356	700	0.0249	55	0.0005000	95.190	5.00	20/05/2015	3 yrs.	Cape Canaveral	Atlas 5	528.00000	527.83629	13.1472	0	528	0	13.1472	0	528
Aerocube 8C	NR	"Aerospace Corporation,USA"	Commercial	Technology Development	LEO	573	585	0.000863	98	0.0002000	96.230	2.00	11/11/2016	3 yrs.	Vandenberg AFB	Atlas 5	579.00000	578.99978	0.49968	0	579	0	0.49968	0	579
Aerocube 8D	NR	"Aerospace Corporation,USA"	Commercial	Technology Development	LEO	572	584	0.000864	98	0.0002000	96.230	2.00	11/11/2016	3 yrs.	Vandenberg AFB	Atlas 5	578.00000	577.99978	0.49939	0	578	0	0.49939	0	578
"Afghansat-1 (Eutelsat 28B, Eutelsat 48B, Eutelsat W2M, Eutelsat 48D)"	France	"European Telecommunications Satellite Consortium (EUTELSAT),Multinational"	Commercial	Communications	GEO	35764	35808	0.000522	0.12	0.3460000	1436.080	3460.00	20/12/2008	15 yrs.	Guiana Space Center	Ariane 5	35786.00000	35785.99512	18.6803	0	35786	0	18.6803	0	35786
Afristar 	USA	"1Worldspace,USA"	Commercial	Communications	GEO	35770	35802	0.00038	0.03	0.2704000	1436.090	2704.00	28/10/1998	15 yrs.	Guiana Space Center	Ariane 44L	35786.00000	35785.99742	13.59868	0	35786	0	13.59868	0	35786
AIM (Aeronomy of Ice in Mesosphere)	USA	"Center for Atmospheric Sciences, Hampton University/NASA,USA"	Government	Earth Observation	LEO	544	552	0.000578	97.9	0.0215000	96.200	215.00	25/04/2007	2 yrs.	Vandenberg AFB	Pegasus XL	548.00000	547.99991	0.31674	0	548	0	0.31674	0	548
AISat-1	Germany	"German Aerospace Center (DLR),Germany"	Government	Communications	LEO	643	660	0.00121	98.25	0.0014000	97.760	14.00	30/06/2014	2 yrs.	Satish Dhawan Space Centre	PSLV-CA	651.50000	651.49952	0.78831	0	651.5	0	0.78831	0	651.5
AISSat-1 (Automatic Identification System Satellite-1)	Norway	"Norwegian Coastal Admnistration,Norway"	Government	Communications	LEO	615	632	0.00122	98	0.0006000	97.200	6.00	12/07/2010	3 yrs.	Satish Dhawan Space Centre	PSLV	623.50000	623.49954	0.76067	0	623.5	0	0.76067	0	623.5
AISSat-2 (Automatic Identification System Satellite-2)	Norway	"Norwegian Coastal Admnistration,Norway"	Government	Communications	LEO	625	631	0.000429	98.4	0.0006000	97.270	6.00	08/07/2014	3 yrs.	Baikonur Cosmodrome	Soyuz-2.1b	628.00000	627.99994	0.26941	0	628	0	0.26941	0	628
AIST-1	Russia	"Samara State Aerospace University, SGAU,Russia"	Civil	Technology Development	LEO	599	626	0.00193	82.4	0.0053000	96.900	53.00	28/12/2013	3 yrs.	Plesetsk Cosmodrome	"Soyuz 2,1v"	612.50000	612.49886	1.18213	0	612.5	0	1.18213	0	612.5
