NameofSatellite,Country/Org of UN Registry,Owner,Users,Purpose,ClassOfOrbit,Perigee (km),Apogee (km),Eccentricity,Inclination,Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime,Launch Site,Launch Vehicle
"Globalstar M086 (Globalstar 86, Globalstar 2-18)",France,"Globalstar,USA",Commercial,Communications,LEO,"1,413","1,414",6.42E-05,52,114.1,700,28/12/2011,15 yrs.,Baikonur Cosmodrome,Soyuz 2.1a/Fregat
"Globalstar M088 (Globalstar 88, Globalstar 2-8)",France,"Globalstar,USA",Commercial,Communications,LEO,"1,412","1,415",1.93E-04,52,114.1,700,13/07/2011,15 yrs.,Baikonur Cosmodrome,Soyuz 2.1a
"Globalstar M089 (Globalstar 89, Globalstar 2-12)",France,"Globalstar,USA",Commercial,Communications,LEO,"1,413","1,415",1.28E-04,51.99,118.2,700,13/07/2011,15 yrs.,Baikonur Cosmodrome,Soyuz 2.1a
"Globalstar M090 (Globalstar 90, Globalstar 2-17)",France,"Globalstar,USA",Commercial,Communications,LEO,"1,413","1,414",6.42E-05,52,114.1,700,28/12/2011,15  yrs.,Baikonur Cosmodrome,Soyuz 2.1a/Fregat
"Globalstar M091 (Globalstar 91, Globalstar 2-9)",France,"Globalstar,USA",Commercial,Communications,LEO,"1,413","1,415",1.28E-04,52,114.1,700,13/07/2011,15 yrs.,Baikonur Cosmodrome,Soyuz 2.1a
"Globalstar M092 (Globalstar 92, Globalstar 2-16)",France,"Globalstar,USA",Commercial,Communications,LEO,"1,413","1,414",6.42E-05,52,114.1,700,28/12/2011,15 yrs.,Baikonur Cosmodrome,Soyuz 2.1a/Fregat
"Globalstar M093 (Globalstar 87, Globalstar 2-20)",France,"Globalstar,USA",Commercial,Communications,LEO,"1,412","1,415",1.93E-04,51.98,113.35,700,6/2/2013,15 yrs.,Baikonur Cosmodrome,Soyuz.2.1a/Fregat
"Globalstar M094 (Globalstar 93, Globalstar 2-21)",France,"Globalstar,USA",Commercial,Communications,LEO,"1,413","1,414",6.42E-05,51.99,103.44,700,6/2/2013,15 yrs.,Baikonur Cosmodrome,Soyuz.2.1a/Fregat
"Globalstar M095 (Globalstar 96, Globalstar 2-24)",France,"Globalstar,USA",Commercial,Communications,LEO,"1,413","1,414",6.42E-05,51.98,114.08,700,6/2/2013,15 yrs.,Baikonur Cosmodrome,Soyuz.2.1a/Fregat
"Globalstar M096 (Globalstar 94, Globalstar 2-22)",France,"Globalstar,USA",Commercial,Communications,LEO,"1,413","1,414",6.42E-05,52.01,103.48,700,6/2/2013,15 yrs.,Baikonur Cosmodrome,Soyuz.2.1a/Fregat
"Globalstar M097 (Globalstar 78, Globalstar 2-19)",France,"Globalstar,USA",Commercial,Communications,LEO,"1,370","1,391",1.35E-03,52.01,113.96,700,6/2/2013,15 yrs.,Baikonur Cosmodrome,Soyuz.2.1a/Fregat
"Glonass 701 (Glonass-K, Cosmos 2471)",Russia,"Ministry of Defense,Russia",Military/Commercial,Navigation/Global Positioning,MEO,"19,116","19,146",5.88E-04,64.77,675.78,935,26/02/2011,10 yrs.,Plesetsk Cosmodrome,Soyuz 2
"Glonass 702 (Glonass K, Cosmos 2501)",Russia,"Ministry of Defense,Russia",Military/Commercial,Navigation/Global Positioning,MEO,"19,103","19,178",1.47E-03,64.83,676.15,935,1/12/2014,10 yrs.,Plesetsk Cosmodrome,Soyuz 2.1b
Glonass 714 (Cosmos 2419),Russia,"Ministry of Defense,Russia",Military/Commercial,Navigation/Global Positioning,MEO,"19,118","19,125",1.37E-04,64.8,675.39,"1,480",25/12/2005,7 yrs.,Baikonur Cosmodrome,Proton K
"Glonass 715 (Glonass 35-1, Cosmos 2424)",Russia,"Ministry of Defense,Russia",Military/Commercial,Navigation/Global Positioning,MEO,"19,130","19,130",0.00E+00,64.8,675.75,"1,480",25/12/2006,7 yrs.,Baikonur Cosmodrome,Proton K
"Glonass 716 (Glonass 35-2, Cosmos 2425)",Russia,"Ministry of Defense,Russia",Military/Commercial,Navigation/Global Positioning,MEO,"19,130","19,130",0.00E+00,64.8,675.75,"1,480",25/12/2006,7 yrs.,Baikonur Cosmodrome,Proton K
"Glonass 717 (Glonass 35-3, Cosmos 2426)",Russia,"Ministry of Defense,Russia",Military/Commercial,Navigation/Global Positioning,MEO,"19,130","19,130",0.00E+00,64.8,675.75,"1,480",25/12/2006,7 yrs.,Baikonur Cosmodrome,Proton K
"Glonass 719 (Glonass 36-2, Cosmos 2432)",Russia,"Ministry of Defense,Russia",Military/Commercial,Navigation/Global Positioning,MEO,"19,094","19,171",1.51E-03,64.9,675.83,"1,480",26/10/2007,7 yrs.,Baikonur Cosmodrome,Proton K
